@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,1.0,1.0,1.0,1.0,1.0,1.70088342062e-206,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,7.86728247141e-107,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,5.51139248632e-76,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.87806451774e-88,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.51097572741e-79,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.47192658141e-20,1.0,39
1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.05059092763e-84,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,3.58612770667e-107,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,4.56160668181e-176,1.0,7.12457640674e-218,1.0,6.76249428903e-148,1.0,39
1.0,1.6163494574e-125,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.23631556126e-115,1.0,39
1.0,1.0,1.0,1.0,6.73993277863e-99,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.19582727958e-96,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,4.76067321453e-70,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.76359463377e-137,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.72470990425e-69,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,39
1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.7102221533e-57,1.0,39
