@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,3.67246183611e-214,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,4.47674435372e-19,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.76175115529e-55,1.0,1.2986718162e-159,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.85299273148e-104,1.0,7.12457640674e-218,1.0,5.3159022158e-203,7.12457640674e-218,7.12457640674e-218,1.0,1.0,2.56695837136e-120,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.32186516579e-166,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,6.16475015851e-75,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,5.46707972896e-27,5.91187245421e-128,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,3.11665449829e-167,1.0,7.12457640674e-218,7.2038419292e-76,7.12457640674e-218,1.2873500247e-210,1.0,1.0,5.13919978134e-89,1.0,7.12457640674e-218,1.0,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,8.29262147299e-149,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,9.19826524e-08,1.0,1.13469894681e-85,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,9.29018642231e-35,1.0,1.14809256701e-87,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.04733499738e-32,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.32962312631e-62,1.0,7.12457640674e-218,1.0,1.0,1.0,3.86157989113e-24,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,3.31095460741e-176,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.62179618518e-114,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,5.13673991218e-35,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,2.49505832917e-159,1.0,7.12457640674e-218,4.53557560345e-143,7.12457640674e-218,1.92574013761e-180,1.0,1.0,1.32572900781e-133,1.0,7.12457640674e-218,1.0,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,0.00243908649775,7.12457640674e-218,3.84924351817e-79,1.0,1.0,1.0,1.1879515553e-07,7.12457640674e-218,1.0,2.08543908234e-132,1.0,1.0,2.67117253503e-118,1.70432095005e-93,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.80918017345e-45,4.7433852805e-19,7.12457640674e-218,1.0,7.12457640674e-218,6.31369854574e-138,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.89677505414e-198,7.12457640674e-218,1.0,0.999999807441,1.0,0.000282700110632,1.0,7.12457640674e-218,1.0,1.0,1.0,0.0621822580975,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.25823311144e-130,1.0,1.0,2.74544041261e-78,1.0,1.0,0.999847066403,7.12457640674e-218,2.14015310244e-129,7.12457640674e-218,1.0,1.0,5.71235005072e-190,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,4.88924193038e-211,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
6.97163109115e-172,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,0.999999999999,1.20285776965e-189,1.0,7.12457640674e-218,1.19474376894e-56,1.0,1.0,1.0,2.5188451321e-47,7.12457640674e-218,1.0,3.48902387439e-46,1.0,1.0,7.16795943216e-175,3.07860169027e-101,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,9.55019562549e-121,7.12457640674e-218,1.0,7.12457640674e-218,7.03833072495e-200,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,6.67412744986e-111,1.0,7.12457640674e-218,1.0,1.0,1.0,5.23936985617e-113,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,4.46016143938e-80,1.0,1.0,8.0636056757e-12,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,4.77096977888e-98,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.03651637334e-165,1.0,7.12457640674e-218,1.0,0.999999999996,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.98805865976e-211,1.06477224008e-194,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,5.28617090482e-73,7.12457640674e-218,7.12457640674e-218,1.0,2.57538482486e-32,1.0,3.09161445722e-32,4.23003523374e-104,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.75970722739e-78,1.0,1.0,6.74327584184e-38,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.20510178873e-207,1.0,1.0,6.6468589993e-65,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,4.68501018058e-109,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,5.14679483533e-130,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,0.999999907598,7.12457640674e-218,1.7480878652e-19,1.0,1.0,2.91986718318e-137,1.0,7.12457640674e-218,1.0,1.34167499986e-151,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,9.47415210461e-129,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2.88320023706e-82,7.12457640674e-218,3.60620944449e-199,1.0,1.58836536045e-24,1.0,1.0,2.30198332299e-34,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.01189498197e-111,1.0,1.0,4.45958629215e-116,7.12457640674e-218,7.12457640674e-218,0.999999999987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.10178563713e-170,1.0,1.0,5.78158483249e-76,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.55167442432e-98,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.03554593194e-163,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,0.999997105583,1.0,1.0,5.07995952223e-178,1.0,7.12457640674e-218,1.0,2.0712347039e-197,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,5.41769627583e-205,1.40756818546e-123,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.18928549535e-35,7.12457640674e-218,7.19659874315e-158,1.0,4.34048861239e-39,1.0,1.04675219329e-18,4.16486131934e-139,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8.83995516549e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,5.85970564656e-117,1.0,1.0,2.30468696617e-63,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,5.36781654733e-109,1.0,1.0,1.96592053283e-122,1.0,7.12457640674e-218,1.0,0.00295927367443,1.0,7.12457640674e-218,7.12457640674e-218,1.94229647051e-83,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.75151196259e-138,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,0.999995184704,7.12457640674e-218,1.0,1.0,1.0,8.43092443852e-189,1.0,7.12457640674e-218,1.0,1.07336404502e-135,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.19203009846e-63,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,1.81729005882e-177,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,4.27857034963e-96,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.26994783872e-53,1.0,1.0,1.9546734335e-44,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,4.37622581195e-47,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,4.22764292539e-68,1.30530010774e-174,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.09935411749e-08,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,2.15514118133e-88,1.0,7.12457640674e-218,1.0,1.90078790746e-64,8.56430918963e-104,1.3620681177e-14,1.0,1.0,1.0,7.12457640674e-218,4.64084356557e-180,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,4.64340697882e-62,7.12457640674e-218,8.25168725412e-25,1.89633612239e-94,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,8.97615018719e-28,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,0.99999999988,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,2.60240674798e-107,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,6.48910542865e-87,1.0,7.12457640674e-218,1.0,1.0,1.0,3.96054502537e-08,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
