@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute a100 numeric
@attribute a101 numeric
@attribute a102 numeric
@attribute a103 numeric
@attribute a104 numeric
@attribute a105 numeric
@attribute a106 numeric
@attribute a107 numeric
@attribute a108 numeric
@attribute a109 numeric
@attribute a110 numeric
@attribute a111 numeric
@attribute a112 numeric
@attribute a113 numeric
@attribute a114 numeric
@attribute a115 numeric
@attribute a116 numeric
@attribute a117 numeric
@attribute a118 numeric
@attribute a119 numeric
@attribute a120 numeric
@attribute a121 numeric
@attribute a122 numeric
@attribute a123 numeric
@attribute a124 numeric
@attribute a125 numeric
@attribute a126 numeric
@attribute a127 numeric
@attribute a128 numeric
@attribute a129 numeric
@attribute a130 numeric
@attribute a131 numeric
@attribute a132 numeric
@attribute a133 numeric
@attribute a134 numeric
@attribute a135 numeric
@attribute a136 numeric
@attribute a137 numeric
@attribute a138 numeric
@attribute a139 numeric
@attribute a140 numeric
@attribute a141 numeric
@attribute a142 numeric
@attribute a143 numeric
@attribute a144 numeric
@attribute a145 numeric
@attribute a146 numeric
@attribute a147 numeric
@attribute a148 numeric
@attribute a149 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,1.0,1.0,7.12457640674e-218,2.25182723742e-139,1.0,1.0,0.000791137154803,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,5.16704235579e-136,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.69171108632e-126,1.0,1.0,7.12457640674e-218,1.0,0.0404655853293,1.25349826813e-62,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,4.56957866946e-187,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.07518589327e-171,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.17680771323e-14,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,6.68889618135e-210,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.01138716274e-155,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.40139354926e-121,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.26345345297e-136,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,3.1667155155e-82,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.73967609334e-156,1.0,1.0,7.12457640674e-218,1.02519352141e-20,7.12457640674e-218,1.48617425672e-200,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,4.79840054541e-36,7.12457640674e-218,7.12457640674e-218,1.0,3.94804864369e-56,1.0,1.0,1.0,1.0,5.18059091526e-135,1.0,1.0,5.27428166579e-183,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,2
1.0,1.0,2.73750106227e-58,7.12457640674e-218,3.12316467407e-153,1.0,1.0,8.0215650292e-13,1.0,1.0,3.20806568324e-78,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,4.68969639745e-89,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.74405196579e-121,1.0,4.60936024906e-87,5.43078557099e-27,7.12457640674e-218,0.999999999589,1.0,7.12457640674e-218,7.12457640674e-218,1.02085113025e-145,1.0,6.04404657285e-170,6.3060456179e-181,7.12457640674e-218,1.03840987558e-94,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,2.93543339089e-195,3.20188668598e-177,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.76561537732e-164,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,2.01731682485e-162,1.0,7.48504920547e-102,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.18529143593e-15,7.12457640674e-218,1.66373260353e-181,1.0,7.12457640674e-218,1.43367683108e-172,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.14380666422e-189,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,3.50745553673e-146,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,6.50483621588e-124,7.12457640674e-218,1.10639358933e-205,5.65188363746e-46,1.0,1.0,1.0,1.0,1.0,1.8346085941e-22,1.0,1.0,2.74869983409e-142,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,9.51727381222e-196,2
1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.85717230047e-85,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.09761595852e-194,7.12457640674e-218,1.20816137137e-111,0.999999982617,1.0,1.0,1.0,9.44927234322e-81,2.16696507111e-168,3.98997699546e-115,1.0,7.12457640674e-218,1.0,1.0,1.0,3.69215856979e-124,3.08295042184e-115,1.0,7.12457640674e-218,3.79005119558e-118,1.97672560254e-203,1.0,6.10449117068e-210,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.1485539631e-141,7.12457640674e-218,9.63043684944e-122,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,9.55106028683e-06,3.51202183656e-14,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,9.64824944434e-167,4.98564185916e-200,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.62949018704e-89,1.0,7.12457640674e-218,1.0,1.0,7.67213577332e-178,7.12457640674e-218,7.12457640674e-218,2.10421434858e-216,1.0,7.12457640674e-218,7.12457640674e-218,1.22424402517e-183,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.489470426e-71,7.12457640674e-218,1.38711706592e-15,1.0,7.12457640674e-218,7.12457640674e-218,5.77577012453e-179,1.0,2.32096412877e-130,7.12457640674e-218,7.12457640674e-218,1.0,1.42009855556e-178,4.0821630801e-40,1.0,1.0,1.0,0.0164466370099,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,6
7.12457640674e-218,1.0,1.0,1.0324728734e-147,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,6.32455950485e-33,1.0,7.12457640674e-218,7.12457640674e-218,4.4759912891e-202,7.12457640674e-218,3.76151857683e-30,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,3.81339033732e-87,1.0,3.45621512276e-57,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.31619619145e-179,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,5.77702093709e-21,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,8.95915254079e-81,7.12457640674e-218,7.12457640674e-218,1.0,5.0930258766e-39,7.12457640674e-218,1.0,1.0,1.0,1.0,7.68106981499e-166,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,6.51043579001e-29,7.12457640674e-218,1.0,1.0,1.0,4.4662798026e-15,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.2012739885e-148,1.0,1.0,1.0,2.81541030387e-176,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.00217846448935,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,3.41332591173e-200,1.0,7.12457640674e-218,1.0,1.0,6.65784396992e-100,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.84032736979e-111,1.0,7.12457640674e-218,7.06205574508e-148,7.12457640674e-218,1.0,1.0,2.63645346545e-13,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.05559639698e-120,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.36959304692e-153,1.0,1.0,1.0,7.12457640674e-218,1.0,1.42139527967e-164,7
2.27998770759e-168,1.0,1.0,4.1820511226e-78,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.67950454746e-08,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,5.68313633978e-36,3.3045789012e-84,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,6.23040746372e-13,2.34971808909e-28,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,3.48503371044e-72,1.0,1.12444723919e-71,1.0,5.0019349107e-40,7.12457640674e-218,1.0,1.0,9.91972143249e-206,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.17797636908e-10,1.0,1.0,6.41529906294e-194,5.09405008521e-95,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.66927611051e-158,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.34429470131e-68,7.12457640674e-218,3.33682051111e-91,7.12457640674e-218,7.12457640674e-218,1.38988670122e-213,1.0,1.94779723193e-18,1.0,3.40305475355e-176,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,5.54308023593e-10,1.0,7.12457640674e-218,1.0,1.0,2.41158385905e-94,1.0,7.12457640674e-218,7.12457640674e-218,1.0,4.64945318948e-74,7.00092683149e-141,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.29667288694e-199,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.79294917505e-127,1.08198178215e-97,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.69755200681e-122,1.0,7.12457640674e-218,1.13985887986e-55,1.0,1.0,1.0,1.0,3.25860870964e-76,1.0,2.37024722374e-67,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,9.67943984626e-78,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,3.26102704556e-36,1.88094823148e-51,5.64180314096e-48,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.25944102088e-102,0.999998763691,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.09946345768e-104,1.0,1.4031373959e-19,1.0,4.85248036006e-126,7.12457640674e-218,1.0,1.0,3.49025104953e-179,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,2.19329166809e-168,5.05256759174e-109,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,5.19902621907e-148,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.32299344567e-16,7.12457640674e-218,5.42261444597e-168,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,4.38087223587e-52,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,6.98111308937e-60,1.0,1.0,7.12457640674e-218,1.0,1.0,3.87892978612e-74,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,6.41519324869e-156,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.43808913739e-148,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.08681537538e-97,2.69360060487e-145,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.16016033883e-205,1.0,7.12457640674e-218,7.63084916477e-88,1.0,1.0,1.0,1.0,2.66207031434e-74,1.0,3.22856861715e-28,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,8.53791966053e-21,1.0,2.8389483813e-19,2.94031232761e-54,1.0,7.12457640674e-218,7.19071976009e-179,7.12457640674e-218,2.75426886101e-203,4.72282132629e-184,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,2.36838586139e-133,1.0,1.6583579924e-89,7.12457640674e-218,1.0,1.0,1.32971067565e-63,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.73275912746e-10,1.07154161464e-83,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.21140810017e-117,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.00458322728e-165,7.12457640674e-218,2.44136795258e-147,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,9.08847056287e-74,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,2.83958391464e-89,1.0,7.12457640674e-218,1.0,1.0,1.1675097446e-59,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.34689083052e-124,1.0,1.0,3.31878373154e-198,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.37967754711e-209,1.0,7.12457640674e-218,5.98998232685e-168,7.12457640674e-218,1.26961689648e-100,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,5.45148612866e-106,1.0,1.0,1.0,1.0,9.54579589476e-41,1.0,3.67422825013e-112,1.0,1.50866801498e-112,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,0.00334264155786,1.0,7.12457640674e-218,7.12457640674e-218,7.50722817712e-195,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,5.97183575468e-24,1.0,1.0,1.72192862877e-24,1.0,7.12457640674e-218,3.60893592441e-79,7.12457640674e-218,6.41761707026e-92,1.17254565017e-131,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,9.80926242228e-217,1.0,1.32596578387e-94,7.12457640674e-218,1.0,1.0,1.85840853494e-112,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,2.96324453275e-35,5.26897425576e-22,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.55423335818e-183,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.36353771049e-158,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.05549296405e-82,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,6.32655173104e-51,1.0,7.12457640674e-218,1.0,1.0,1.77284339746e-137,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,5.50062536895e-175,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,5.53871736301e-185,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,6.90059436719e-61,7.12457640674e-218,1.91217242307e-187,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,6.74021019342e-25,1.0,0.998353005237,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7
5.52064247258e-49,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,8.44308475698e-74,6.61542172665e-54,1.0,1.0,7.12457640674e-218,0.999999999097,1.0,7.12457640674e-218,7.12457640674e-218,7.76907391956e-102,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.54862394409e-80,1.0,1.0,4.41328316513e-107,1.0,7.12457640674e-218,0.999999047772,7.12457640674e-218,1.0,4.40833749631e-11,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.90526276903e-95,1.0,3.47063128713e-85,1.0,8.23842309923e-179,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,8.42281694449e-199,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,5.4623345362e-91,4.03445720219e-180,7.12457640674e-218,7.12457640674e-218,1.0,6.20034900756e-204,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.34625493892e-192,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.07503887314e-161,1.0,7.12457640674e-218,9.51256018393e-21,7.12457640674e-218,7.09278430163e-09,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7
