@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.3865511896e-47,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,8.4211307977e-09,0.999314695137,7.12457640674e-218,1.0,1.0,1.0,0.999998614333,1.0,1.0,1.0,1.0,3.88315029346e-81,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.31186977468e-117,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,3.82396533709e-214,1.0,1.0,9.00779387059e-54,7.12457640674e-218,1.0,4.09428154146e-51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.52791321005e-126,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.20134098413e-175,1.0,1.0,2.66428653431e-51,7.12457640674e-218,1.0,3.5735004104e-34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,1.99653258119e-209,1.0,1.0,7.12457640674e-218,1.059666435e-95,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,5.09152732027e-151,7.12457640674e-218,1.0,7.12457640674e-218,8.27991006306e-165,3.52144238883e-130,1.0,0.000527274887042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.35882988802e-91,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.15083179948e-117,7.12457640674e-218,1.0,7.12457640674e-218,1.01871352225e-157,1.45526040571e-131,1.0,3.00916146421e-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,1.79871370899e-164,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,6.40858300203e-177,1.0,1.69653764479e-16,1.0,2.79314068763e-163,1.0,3.99584912002e-130,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,2.13368677934e-37,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,6.18333001477e-210,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,6.80690749916e-92,1.0,4.19742434872e-132,1.0,7.12457640674e-218,1.0,8.9343678993e-153,7.12457640674e-218,1.0,7.12457640674e-218,6.19709058262e-46,0.999999983924,1.0,6.09084947987e-106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.12231029651e-175,1.0,1.0,1.0,7.12457640674e-218,1.0,1.71042834835e-96,1.25893076502e-207,1.0,7.12457640674e-218,1.0,4.12446154628e-35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,8.41213456692e-126,1.0,1.0,1.0,7.12457640674e-218,1.0,3.17087139515e-103,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.4638852902e-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.95958837403e-147,1.0,1.21874912317e-27,1.0,7.12457640674e-218,1.0,6.02947449839e-101,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.999999611338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999703,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.71191098391e-115,1.0,7.12457640674e-218,1.0,6.41798387181e-07,7.12457640674e-218,1.0,7.12457640674e-218,7.14823386179e-33,5.06800826886e-38,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
