@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,6
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,6
1.24229130435e-144,1.0,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,1.00002136746e-18,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7
1.05195564047e-211,1.0,1.0,7.12457640674e-218,1.0,8
1.0,1.0,1.0,7.12457640674e-218,1.0,8
6.019574683e-76,1.0,1.0,7.12457640674e-218,1.0,8
1.0,1.0,1.0,7.12457640674e-218,1.0,8
1.0,8.77427562833e-129,1.0,7.12457640674e-218,1.0,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
1.24400849146e-139,1.0,1.0,7.12457640674e-218,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,16
4.28494006782e-208,1.0,1.0,7.12457640674e-218,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,16
3.22573573771e-131,1.0,1.0,7.12457640674e-218,1.0,16
1.24684028282e-66,1.0,1.0,7.12457640674e-218,1.0,35
8.27548231953e-99,1.0,1.0,7.12457640674e-218,1.0,35
1.79450063437e-75,1.0,1.0,7.12457640674e-218,1.0,35
2.20237582869e-54,1.0,1.0,7.12457640674e-218,1.0,35
0.00271082888592,1.0,1.0,7.12457640674e-218,1.0,35
2.3721981131e-159,1.0,1.0,7.12457640674e-218,1.0,35
3.78623882323e-64,1.0,1.0,7.12457640674e-218,1.0,39
4.75925679696e-56,1.0,1.0,7.12457640674e-218,1.0,39
0.999999999999,1.0,1.0,7.12457640674e-218,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,39
2.31293700967e-109,1.0,1.0,7.12457640674e-218,1.0,39
9.72253469645e-70,1.0,1.0,7.12457640674e-218,1.0,39
