@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8.00820788771e-41,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.29484967103e-174,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,4.70108789425e-167,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,4.45187260437e-23,1.0,1.0,1.0,1.0,2.76525462247e-69,1.0,1.0,7.12457640674e-218,1.72893977372e-49,1.0,1.0,7.12457640674e-218,6.3590779027e-85,5.96373821647e-39,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,2.62244411655e-72,1.0,1.0,2
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.06868265836e-32,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,0.999999999994,7.12457640674e-218,7.12457640674e-218,7.42139342005e-68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.48007812907e-129,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,0.999999998608,1.0,0.995216488445,1.0,1.0,7.07791034336e-76,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,3.65264967061e-66,8.24046553452e-19,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.46544203501e-05,6.2625382705e-160,7.12457640674e-218,1.0,3.06582814562e-33,1.0,3.45379812947e-51,2
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,9.25251675357e-168,7.12457640674e-218,7.12457640674e-218,2.18994849106e-56,1.0,3.38077880826e-08,1.0,1.0,3.63650811251e-210,1.0,1.0,1.0,1.0,7.36389564313e-217,1.0,7.12457640674e-218,1.0,7.12457640674e-218,4.03672741283e-206,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,2.85073708193e-52,1.0,1.15578363967e-46,7.12457640674e-218,9.17680812111e-149,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,4.15784112802e-51,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,5.56474070838e-47,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,5
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,4.11102881948e-134,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,3.30097878949e-154,3.53916886881e-215,0.000109136368361,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,3.71315059756e-87,1.0,3.7277467326e-16,1.0,1.0,1.34960820184e-189,1.0,1.0,1.0,1.0,8.21113974954e-160,1.0,7.12457640674e-218,1.0,7.12457640674e-218,2.89118779815e-132,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.24196946882e-26,1.0,3.31411785256e-53,7.12457640674e-218,5.2688068228e-75,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,9.07359220189e-75,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,2.43850824272e-95,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,5
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,6.64321023156e-68,1.0,7.12457640674e-218,7.12457640674e-218,0.95794241938,1.77994996447e-188,1.0,8.63228328379e-208,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.6975654368e-74,1.76153312044e-130,1.0,1.0,0.999999392228,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,5.3891400455e-171,1.0,1.0,1.0,1.0,1.76513557606e-185,7.12457640674e-218,4.17770600687e-144,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7
7.12457640674e-218,6.56195704137e-14,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.49613650191e-122,7.12457640674e-218,1.0,1.0,1.0,1.77854310849e-211,3.58689513305e-148,0.000196023631786,2.5429367511e-49,1.0,5.9908316972e-58,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.04279781126e-117,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,4.68229689784e-186,2.51710358855e-182,1.0,7.12457640674e-218,1.0,9.01353831476e-48,0.999999996376,1.0,1.0,9.98238492509e-99,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,3.05344033507e-165,7.12457640674e-218,1.0,1.0,1.0,1.0,2.56168202725e-146,7.12457640674e-218,3.77058498204e-154,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.00025675271e-90,1.0,1.0,4.86506518539e-61,7.12457640674e-218,7.12457640674e-218,3.1649460793e-61,1.0,1.016065398e-05,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.56505836868e-74,1.0,1.62511382428e-32,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,3.46519333988e-90,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,3.18787487616e-195,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.76009241399e-178,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.26882371832e-78,7.12457640674e-218,1.0,1.0,7
7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,2.40756581219e-97,2.23313245194e-56,7.12457640674e-218,1.0,4.72773230352e-154,1.0,4.00993920545e-216,0.999999982522,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.61364053732e-145,7.12457640674e-218,1.0,7.12457640674e-218,1.0,8.8919901828e-122,1.0,1.0,1.0,5.01241166184e-121,1.0,1.0,1.20163125747e-125,1.0,1.0,7.12457640674e-218,7.56361652235e-183,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.13500932401e-129,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.05690245359e-69,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,8
7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0293191745e-207,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.2023251802e-169,1.0,1.0,5.24216646795e-200,8.11733653591e-177,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.46411163002e-122,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,5.39525319642e-200,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,8.09968931532e-49,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.39466963068e-61,1.3690614446e-97,1.2272248932e-105,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,8.43499761438e-212,1.0,7.12457640674e-218,1.0,1.0,1.0,0.999999999133,8
