@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

4.64552053306e-169,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
7.12457640674e-218,1.0,8.21062211881e-100,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,5
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,2.43895498377e-180,1.0,6
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,6
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.24910373335e-59,8.81774797255e-205,1.0,1.0,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,3.55564988568e-106,1.84228194963e-161,1.0,1.0,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0529292529e-129,5.90802760784e-157,1.0,1.0,1.0,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.28906834696e-177,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,2.35451468206e-07,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.7616849342e-55,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.23123598919e-138,7.12457640674e-218,1.0,1.0,1.0,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.80519089885e-174,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.13300804591e-115,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.73141421786e-152,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,5.29703033123e-178,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.54690193412e-89,7.12457640674e-218,1.0,1.0,1.0,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,8.28299021269e-179,7.12457640674e-218,1.0,1.0,1.0,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,5.03959178884e-102,7.12457640674e-218,1.0,1.0,1.0,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.90448917918e-90,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,8.74869170043e-86,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.25344883765e-98,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,4.20487979519e-103,7.12457640674e-218,1.0,1.0,1.0,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,5.78370767665e-203,1.39124089198e-73,7.12457640674e-218,1.0,1.0,1.0,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,0.999999955725,7.12457640674e-218,1.0,1.0,1.0,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.10085731416e-117,7.12457640674e-218,1.0,1.0,1.0,39
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,39
