@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute a87 numeric
@attribute a88 numeric
@attribute a89 numeric
@attribute a90 numeric
@attribute a91 numeric
@attribute a92 numeric
@attribute a93 numeric
@attribute a94 numeric
@attribute a95 numeric
@attribute a96 numeric
@attribute a97 numeric
@attribute a98 numeric
@attribute a99 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,8.03527897675e-147,7.12457640674e-218,1.0,1.0,1.0,5.0019104183e-121,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.82905420558e-51,1.0,1.0,1.0,1.0,7.14145724247e-173,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,2.33493821595e-25,1.0,1.0,7.12457640674e-218,1.0,1.09109632909e-184,7.12457640674e-218,7.12457640674e-218,1.0,1.0,0.999999999997,1.0,7.12457640674e-218,1.63949474684e-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,3.89094546593e-110,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,3.93287864519e-151,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,5.11606134783e-140,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.3945785779e-34,1.0,7.12457640674e-218,1.11054673797e-50,7.12457640674e-218,7.12457640674e-218,1.0,1.0,3.69226870879e-191,1.24646263058e-37,7.12457640674e-218,1.0,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,5.54396584942e-206,7.12457640674e-218,1.0,1.0,1.0,1.9834666625e-156,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,3.90959942589e-214,1.0,1.0,1.0,1.0,2.07367773037e-104,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,2.53006805965e-28,1.0,1.0,7.12457640674e-218,1.0,4.96389203567e-176,7.12457640674e-218,7.12457640674e-218,1.0,1.0,5.11090341818e-102,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.51645055995e-58,2.24120397266e-29,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.95305725888e-181,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.98377813775e-208,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.2088954262e-93,1.0,7.12457640674e-218,1.00718855175e-50,7.12457640674e-218,7.12457640674e-218,1.0,1.57319341353e-33,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.71397090383e-58,1.0,1.0,1.0,2.81921205846e-83,7.12457640674e-218,1.0,3.98618922187e-111,1.0,1.0,2.57624095861e-129,2.07932958909e-36,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,6.15493460835e-26,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,4.96439254037e-87,1.0,7.12457640674e-218,1.0,1.0,1.0,2.00590364768e-41,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.92308666019e-12,1.0,1.0,1.55871026162e-124,7.12457640674e-218,1.05353937416e-185,7.12457640674e-218,1.0,1.0,3.64315059699e-100,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.18531261631e-47,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.45530176125e-130,7.12457640674e-218,1.0,4.92542485812e-126,7.12457640674e-218,2.379710885e-83,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,6.99459569248e-44,1.0,1.0,3.31671781937e-132,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,2.7718206716e-172,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.76044152203e-72,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,3.64703116397e-30,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,3.3566533155e-122,7.12457640674e-218,5.03034050522e-45,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.05466164395e-61,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.02296755284e-175,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.08027884102e-185,7.12457640674e-218,1.0,2.54947736008e-83,7.12457640674e-218,3.61220972417e-184,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,9.6112450076e-109,1.0,1.0,2.22621335619e-104,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,3.39257395479e-70,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,2.61310187616e-43,7.12457640674e-218,7.12457640674e-218,2.30267291517e-13,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,0.999999988161,1.0,1.0,7.12457640674e-218,1.0,1.51178503539e-207,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,8.07748955091e-56,1.0,2.05772588887e-155,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.84832574057e-203,1.0,1.0,1.0,7.12457640674e-218,1.02091389405e-68,1.49441748628e-140,1.0,1.0,7.12457640674e-218,1.0,4.2775911281e-55,7.12457640674e-218,5.59348929565e-112,1.4321790536e-200,1.0,4.83002972163e-73,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.60048156288e-174,7.12457640674e-218,2.76886035869e-200,1.0,1.0,9.74286469732e-38,1.0,7.12457640674e-218,1.14172507848e-49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.82646767227e-200,1.0,1.0,1.0,1.36272378311e-148,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.02612968979e-145,7.12457640674e-218,3.54780197842e-149,1.0,7.12457640674e-218,1.0,1.33008665047e-170,1.0,5.23653602643e-108,7.12457640674e-218,1.0,7.12457640674e-218,6.22687726358e-134,7.12457640674e-218,4.68765953254e-150,1.0,1.0,1.41214747788e-152,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,2.57101244408e-08,7.12457640674e-218,1.0,8.86706174181e-24,5.08793181398e-33,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.22048753189e-111,1.0,1.0,1.0,7.12457640674e-218,2.37112019996e-129,3.85574899194e-139,1.0,1.0,7.12457640674e-218,1.0,6.0542056096e-100,7.12457640674e-218,2.72723258367e-164,7.12457640674e-218,1.0,8.36729496602e-73,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,8.30178028762e-87,7.12457640674e-218,1.76354305234e-146,1.0,1.0,1.0,1.0,7.12457640674e-218,3.62187349583e-72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,0.999999989293,4.07395409231e-159,7.12457640674e-218,6.51169413687e-42,1.0,7.12457640674e-218,1.0,5.50320357499e-36,1.0,3.26525341953e-61,7.12457640674e-218,1.0,7.12457640674e-218,1.04601904987e-141,7.12457640674e-218,1.30548711794e-152,1.0,1.0,6.45100904065e-32,1.0,7.12457640674e-218,1.0,7.12457640674e-218,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.05823252438e-25,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2.41752251787e-53,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,8.10468786241e-84,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.45101277507e-87,1.49800362625e-16,1.0,1.07054143434e-70,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,3.27009990649e-70,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,0.999999999142,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,39
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,6.57203557957e-18,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.68816469624e-57,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,9.43528042826e-183,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,2.6704203478e-83,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,6.37097640311e-197,1.0,1.0,5.69800464598e-210,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,3.55019980882e-27,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,4.22008184369e-99,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,8.2867805447e-145,1.0,7.12457640674e-218,9.74377044091e-193,7.12457640674e-218,7.49443766261e-155,1.0,1.0,2.84750531511e-200,1.0,7.12457640674e-218,1.0,1.0,39
