@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,1.0,7.72519064819e-124,1.0,1.0,7.12457640674e-218,2.576322224e-116,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,2
7.12457640674e-218,1.0,5.19364622206e-88,1.0,1.0,6.01513512275e-193,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,4.4491085293e-21,1.0,7.12457640674e-218,7.12457640674e-218,2
7.12457640674e-218,1.0,2.34348509186e-81,1.0,1.0,8.06734795713e-143,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.06471964837e-28,1.0,7.12457640674e-218,7.12457640674e-218,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,5
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.16086070477e-165,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,6
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.18027158891e-45,1.27595935884e-159,7.12457640674e-218,7
7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,4.58474683616e-46,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7
9.94978575393e-206,1.0,1.15166163907e-90,1.0,1.0,1.0,1.0,6.29952245451e-73,1.0,2.29629230559e-29,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8
7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.72977305793e-179,1.0,1.0,1.0,8.06133974572e-68,7.12457640674e-218,7.12457640674e-218,8
7.12457640674e-218,1.0,8.74499795206e-131,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.29843443566e-74,1.0,1.0,3.02087160752e-197,1.0,7.12457640674e-218,7.12457640674e-218,8
7.12457640674e-218,1.0,5.31860490055e-58,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.25717115045e-73,1.0,1.0,3.37962128901e-103,1.0,7.12457640674e-218,7.12457640674e-218,8
7.12457640674e-218,1.0,2.775906789e-137,1.0,1.0,1.0,1.0,2.08589493179e-79,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8
