@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.56202253153e-50,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,0.999999999574,7.12457640674e-218,1.0,9.62706868073e-08,8.23942374383e-36,7.12457640674e-218,1.0,1.0,1.0,0.99999974303,2.90697565828e-34,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,2.23684872003e-175,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.32740845827e-36,1.0,1.0,1.0,7.12457640674e-218,1.0,3.60566107693e-47,1.05484844506e-88,1.0,7.12457640674e-218,8.04864260929e-140,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,1.85553813989e-144,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.36141701964e-12,1.0,1.0,1.0,7.12457640674e-218,1.0,1.17701069306e-62,3.76077808098e-86,1.0,7.12457640674e-218,4.44165837154e-85,7.12457640674e-218,1.0,5.24983696786e-191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,3.97026838196e-107,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.98841410995e-55,4.55826560103e-62,1.0,7.12457640674e-218,2.12900859196e-66,7.12457640674e-218,1.0,3.36969639688e-145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.77440972004e-108,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,4.22154198481e-117,2.17879884462e-214,1.0,7.12457640674e-218,8.94926299518e-185,2.23637795476e-141,1.0,4.83165459122e-18,1.0,1.0,1.0,1.0,1.0,0.999999999999,1.0,39
1.0,1.0,7.12457640674e-218,9.51158794651e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.39323174609e-194,1.0,2.8679480138e-17,1.0,1.01364956086e-167,1.0,1.28064629281e-84,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.47653152526e-45,0.999999999926,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,4.48706843861e-77,1.0,4.40026715748e-153,1.0,7.12457640674e-218,1.0,1.32618348642e-161,7.12457640674e-218,1.0,7.12457640674e-218,1.76219274543e-35,1.0,1.0,5.05209719404e-99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.36199530317e-150,1.0,1.0,1.0,2.51193871227e-199,1.0,3.5621037803e-70,3.11270247115e-217,1.0,7.12457640674e-218,1.0,7.02487388739e-69,1.0,1.0,3.97121437726e-19,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,3.07550778047e-189,1.0,1.80761891399e-118,1.0,7.12457640674e-218,1.0,1.90184090151e-37,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.01304494477e-72,1.0,2.62858111307e-44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,5.07345130864e-178,1.0,3.62873950175e-42,1.0,7.12457640674e-218,1.0,1.03998358871e-54,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.78260515724e-53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0594411368e-87,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.81793730044e-54,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,3.17723202798e-90,1.0,1.0,1.0,7.12457640674e-218,1.0,1.14847724045e-86,7.12457640674e-218,1.0,5.15321502696e-196,1.0,5.80273104117e-32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2478831166e-42,1.0,39
1.0,1.0,7.12457640674e-218,3.8643294591e-150,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.13681495663e-64,1.0,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,3.33274992566e-49,1.0,1.0,6.78517013594e-173,1.0,1.0,1.0,1.0,1.0,6.68721482789e-48,1.0,39
1.0,1.0,7.12457640674e-218,9.01666461479e-77,1.0,3.200434335e-22,7.12457640674e-218,1.0,7.12457640674e-218,1.36024962539e-94,1.0,2.61724777886e-106,1.0,5.78705526961e-147,1.0,3.75945036563e-58,7.12457640674e-218,1.0,7.12457640674e-218,2.71353552024e-100,1.0,1.0,1.80091992551e-57,1.11674719029e-28,1.0,1.0,1.0,1.0,9.06410818409e-45,1.0,39
1.0,1.0,7.12457640674e-218,4.95233521028e-130,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,9.53975382967e-132,1.0,9.02241489757e-14,1.0,3.85058453821e-96,1.0,2.47727417637e-63,7.12457640674e-218,1.0,7.12457640674e-218,8.90858196235e-60,1.0,1.0,0.999999999883,1.43960947318e-109,1.0,1.0,1.0,1.0,4.56462338459e-33,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.02180464673e-121,7.12457640674e-218,1.0,1.0,1.0,1.0,3.99388148386e-183,1.0,4.17176758216e-127,6.34213726377e-91,1.0,7.12457640674e-218,5.14292420317e-185,7.12457640674e-218,1.0,5.39604737396e-104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.76892913829e-65,7.12457640674e-218,1.0,1.0,1.0,1.0,1.74607232267e-136,1.0,2.19047680164e-114,1.01943852739e-154,1.0,7.12457640674e-218,7.12457640674e-218,1.15788218895e-180,1.0,1.41949782557e-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.3817033482e-66,7.12457640674e-218,1.0,1.0,1.0,1.0,9.27002885443e-126,1.0,6.79186155773e-148,6.10658386186e-166,1.0,7.12457640674e-218,7.12457640674e-218,8.98021870949e-200,1.0,2.45460403998e-29,1.0,0.999999997668,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.73133631284e-186,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.57640704631e-53,1.0,5.61049606384e-168,8.1752404111e-165,7.12457640674e-218,1.0,3.44804440024e-80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.90779849163e-127,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,0.999999999998,2.83255427445e-37,1.0,7.57507088853e-179,7.11715989303e-181,7.12457640674e-218,1.0,1.07158325107e-59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,6.72988495774e-125,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,9.55603394092e-25,1.83521622229e-85,1.0,2.91433989602e-117,5.45099910801e-122,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,4.29241528887e-120,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,6.01592174649e-23,2.26104548279e-67,1.0,2.53349885839e-141,3.54807280867e-129,7.12457640674e-218,1.0,1.31683478353e-44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,2.80244939297e-116,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.78354067477e-109,1.0,5.72341119925e-129,6.12713545613e-80,6.28459589637e-165,1.0,4.53913730122e-28,1.0,1.0,1.0,1.0,1.0,3.17405369647e-38,1.0,39
1.0,1.0,7.12457640674e-218,7.16590090692e-215,1.0,1.0,7.12457640674e-218,2.32167149736e-64,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,2.14100597564e-64,1.0,7.12457640674e-218,1.17160824259e-108,5.61411132101e-11,1.0,1.0,1.0,1.18064006275e-16,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,3.93130062003e-72,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.3220637103e-72,1.0,7.12457640674e-218,5.876117948e-103,4.8826960541e-28,1.0,1.0,1.0,1.42933701723e-58,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,1.20622817168e-207,1.0,1.0,7.12457640674e-218,2.49734667275e-62,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.86772951295e-64,1.0,7.12457640674e-218,6.44467078556e-103,2.18981057819e-31,1.0,1.0,1.0,1.20967829887e-09,1.0,1.0,1.0,1.0,1.0,39
1.0,1.0,7.12457640674e-218,5.90837397491e-190,1.0,1.0,7.12457640674e-218,1.63656954238e-54,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.14032011846e-95,1.0,7.12457640674e-218,1.25424815381e-67,9.77543526159e-66,1.0,1.0,1.0,1.7394265341e-33,1.0,1.0,1.0,1.0,1.0,39
