@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,2
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,5
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,5
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,5
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,6
5.97678940708e-139,1.0,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,3.66377037966e-66,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,7
2.0687855811e-174,1.0,1.0,7.12457640674e-218,1.0,7
8.18276383281e-24,1.0,1.0,7.12457640674e-218,1.0,7
4.92475460503e-166,1.0,1.0,7.12457640674e-218,1.0,7
7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,8
1.0,1.0,1.0,7.12457640674e-218,1.0,8
1.44093098362e-104,2.64914832474e-13,1.0,7.12457640674e-218,1.0,8
1.25377400757e-123,1.07974545714e-60,1.0,7.12457640674e-218,1.0,8
8.06928213741e-78,1.0,1.0,7.12457640674e-218,1.0,8
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,12
1.42648372514e-160,1.0,1.0,7.12457640674e-218,1.0,16
3.7801671982e-160,1.0,1.0,7.12457640674e-218,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,16
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,16
1.08959203625e-46,1.0,1.0,7.12457640674e-218,1.0,35
8.5220536157e-51,1.0,1.0,7.12457640674e-218,1.0,35
7.36817879724e-50,1.0,1.0,7.12457640674e-218,1.0,35
1.39914214303e-203,1.0,1.0,7.12457640674e-218,1.0,35
7.12457640674e-218,1.0,1.0,7.12457640674e-218,1.0,35
1.2714682427e-203,1.0,1.0,7.12457640674e-218,1.0,39
4.76929141369e-155,1.0,1.0,7.12457640674e-218,1.0,39
1.68900738206e-17,1.0,1.0,7.12457640674e-218,1.0,39
2.81158294573e-26,1.0,1.0,7.12457640674e-218,1.0,39
4.0555596983e-82,1.0,1.0,7.12457640674e-218,1.0,39
1.72759148819e-25,1.0,1.0,7.12457640674e-218,1.0,39
