@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.54894685994e-64,7.12457640674e-218,1.0,5.33664737184e-60,1.0,1.84062420439e-129,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.50693122922e-18,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,2.78969462046e-192,1.0,1.0,1.0,7.12457640674e-218,1.0,1.27786027173e-154,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,2
1.0,7.12457640674e-218,7.12457640674e-218,1.0,3.47658653861e-106,7.12457640674e-218,4.21847549387e-91,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,6.2119574246e-32,1.0,7.12457640674e-218,7.12457640674e-218,2.42788933329e-164,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,3.95968551579e-175,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.69497114784e-73,1.0,4.31306255778e-35,1.0,7.12457640674e-218,1.88132740385e-86,1.0,7.12457640674e-218,1.0,5
1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.16230993979e-45,1.0,7.12457640674e-218,1.30389056613e-33,2.40647446463e-109,2.52026881014e-22,1.12919229672e-28,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.13966688938e-128,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,8.98621436786e-185,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,6
1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.27001127903e-73,1.0,7.12457640674e-218,1.54648439813e-102,3.90203287554e-186,1.0,1.47352261342e-42,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12669060894e-71,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.52852288249e-101,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,6
1.0,3.16726991889e-174,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.44623446437e-214,2.80442801436e-22,1.87140335025e-195,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,4.15374953422e-93,7.12457640674e-218,7.12457640674e-218,1.0,7
1.0,6.80777080124e-151,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.33119528897e-125,1.0,7.53268077363e-28,1.0,7.12457640674e-218,2.88456945586e-42,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,0.99999999717,7.12457640674e-218,7.12457640674e-218,1.0,7
1.0,7.12457640674e-218,7.12457640674e-218,1.0,4.2410293844e-11,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,2.01483126608e-50,1.0,7.12457640674e-218,7.12457640674e-218,3.82901188222e-60,1.0,3.37248723081e-28,7.12457640674e-218,1.0,3.21220592544e-94,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,8.39854573483e-131,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.84845273423e-20,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7
1.0,1.08559095413e-181,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.32710154945e-48,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,5.67494366334e-98,1.0,1.0,7.12457640674e-218,1.0,5.56380362072e-162,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.11829456081e-171,1.50824710756e-10,7.12457640674e-218,7.12457640674e-218,1.0,1.0,2.81530422401e-56,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7
1.0,1.70307510003e-28,7.12457640674e-218,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,7.12457640674e-218,1.0,7.12457640674e-218,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,7.12457640674e-218,1.0,8.39306294624e-92,7.12457640674e-218,7.12457640674e-218,1.0,1.0,1.0,1.0,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,5.32930886964e-138,1.0,1.0,1.0,7.12457640674e-218,1.0,2.66267158623e-20,7.12457640674e-218,1.0,8
