@relation weka.kuku

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute class {2,5,6,7,8,12,16,35,39}

@data

1.0,1.19117567659e-59,1.66834344755e-121,1.0,4.96677362766e-124,1.0,9.64535182951e-06,1.0,6.10306056292e-14,7.12457640674e-218,1.0,7.12457640674e-218,1.0,2.00348977563e-11,1.0,7.12457640674e-218,6.01213526718e-144,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.13011047034e-60,1.38534199888e-12,3.91560891859e-204,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.36389507198e-35,6.60919887153e-23,1.0,1.10853878728e-13,1.0,2.46673888447e-109,1.0,1.0,1.0,0.000721415619273,1.0,1.0,7.12457640674e-218,1.38737107473e-63,7.12457640674e-218,1.0,1.0,3.15804793031e-87,1.0,1.0,1.0,1.0,7
1.0,2.73697571702e-63,1.160642627e-118,1.0,3.62827776706e-137,1.0,1.36797995456e-13,1.0,9.20410029203e-13,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.89547607993e-21,1.0,7.12457640674e-218,2.50057836882e-144,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.12457640674e-218,7.12457640674e-218,1.56906737073e-73,4.17461221153e-20,2.81937015145e-194,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.52229201185e-28,3.01138858876e-18,1.0,6.85520677424e-37,1.0,2.04901676734e-100,1.0,1.0,1.0,8.38916302621e-24,1.0,1.0,1.7436491709e-203,8.91218072053e-71,7.12457640674e-218,1.0,1.0,5.84939778531e-75,1.0,1.0,1.0,1.0,6
1.0,1.2881612513e-47,1.12503163051e-119,1.0,1.37566294076e-128,1.0,9.0311535701e-30,1.0,1.94869178743e-11,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.13350756574e-11,1.0,7.12457640674e-218,7.24086119144e-149,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.32103274639e-196,7.12457640674e-218,5.02887844853e-28,1.59558923241e-44,5.27809109669e-157,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.84662809326e-42,6.80809068123e-22,1.0,8.14236519544e-22,1.0,7.25592950409e-102,1.0,1.0,1.0,2.57200786614e-17,1.0,1.0,7.12457640674e-218,4.67770246953e-63,7.12457640674e-218,1.0,1.0,4.66227607129e-71,1.0,1.0,1.0,1.0,7
1.0,1.81768846969e-57,3.76096031377e-107,1.0,2.38505906089e-138,1.0,3.24610315358e-39,1.0,6.92215276129e-19,7.12457640674e-218,1.0,7.12457640674e-218,1.0,3.01399771692e-23,1.0,7.12457640674e-218,3.09665923345e-136,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.02784312294e-199,7.12457640674e-218,5.10485467797e-35,1.65421250354e-39,1.36239808636e-145,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.38635703248e-39,1.32868444312e-15,1.0,6.93413569526e-45,1.0,1.66646068878e-105,1.0,0.999999999953,1.0,5.72361471364e-09,1.0,1.0,4.46893141624e-210,6.65800908422e-59,7.12457640674e-218,1.0,1.0,1.28375156788e-54,1.0,1.0,1.0,1.0,7
1.0,5.76129009978e-09,3.23136252052e-69,1.0,6.44558909939e-109,0.00137990933346,1.74243848247e-76,1.0,2.45167863752e-31,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.44430919549e-41,1.0,7.12457640674e-218,7.53976970527e-87,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.39238339837e-141,7.12457640674e-218,1.41097907478e-27,1.11785671878e-77,5.84827095489e-170,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01750583273e-58,6.8447460776e-20,0.00151420333635,6.65934431858e-49,1.0,3.48952568528e-81,1.0,1.0,1.0,5.10534865833e-13,0.999991895966,1.0,4.57544596888e-178,9.61601882739e-34,7.12457640674e-218,1.0,1.0,6.73417307153e-64,1.0,1.0,1.0,1.0,16
1.0,6.66490228293e-19,1.10328739312e-65,1.0,6.10432279657e-94,0.196644174505,2.08633565696e-83,0.999999999892,1.37516126022e-22,7.12457640674e-218,1.0,7.12457640674e-218,1.0,5.31924537587e-31,1.0,7.12457640674e-218,3.73778008613e-86,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,4.58680333712e-127,7.12457640674e-218,1.9055413009e-28,3.00122102418e-76,1.55018645306e-158,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.15402550704e-70,2.52446883349e-19,0.998208104589,1.03253127563e-51,1.0,8.86449896598e-79,1.0,1.0,1.0,4.4441785629e-08,1.72258430525e-17,1.0,1.92523126323e-171,6.04362983788e-22,7.12457640674e-218,1.0,1.0,4.60072569751e-64,1.0,1.0,1.0,1.0,16
1.0,4.52609808005e-11,3.01742203366e-67,1.0,1.20191021312e-104,0.999999999373,2.68890266946e-78,1.0,9.56054674304e-17,7.12457640674e-218,1.0,7.12457640674e-218,1.0,4.56203669153e-40,1.0,7.12457640674e-218,3.31457122309e-83,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,5.35357445097e-121,7.12457640674e-218,5.01926436788e-18,3.99316716495e-73,2.15281154955e-150,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.32265929551e-81,1.98260866191e-19,3.82017306079e-09,2.80137404369e-48,1.0,3.48937390477e-81,1.0,0.99999999992,1.0,4.81708794529e-13,1.52122030416e-14,1.0,1.23277374884e-170,2.19882738258e-38,7.12457640674e-218,1.0,1.0,8.88221812975e-68,1.0,1.0,1.0,1.0,12
1.0,7.46915482025e-38,3.40085761859e-130,1.0,2.41570705922e-117,1.0,3.06103091993e-114,1.0,1.31140167314e-48,7.12457640674e-218,1.0,7.12457640674e-218,1.0,7.98250585708e-46,1.0,7.12457640674e-218,7.84624615796e-144,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,7.05471162765e-195,7.12457640674e-218,1.08201737031e-50,1.14694696246e-69,4.75864307868e-140,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.63275612875e-72,1.27885446024e-11,1.0,2.96056761143e-47,1.0,9.90725894734e-117,1.0,1.0,1.0,3.24790066583e-13,1.0,1.0,3.73914587884e-202,1.41548907732e-27,7.12457640674e-218,1.0,1.0,2.03987920587e-68,4.88394405895e-14,1.0,1.0,1.0,2
1.0,1.7090747578e-44,8.54245960905e-128,1.0,5.91870210566e-114,1.0,1.06226073739e-114,1.0,4.14172140609e-45,7.12457640674e-218,1.0,7.12457640674e-218,1.0,1.44135169812e-53,1.0,7.12457640674e-218,3.8102751964e-153,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,2.24645536004e-195,7.12457640674e-218,9.13778058411e-49,2.97506592943e-70,2.31527196252e-130,7.12457640674e-218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.56497430216e-73,3.6005615091e-19,1.0,4.81228996311e-46,1.0,1.25184717141e-120,1.0,1.0,1.0,3.76672456411e-14,1.0,1.0,1.63336086713e-210,1.92650933982e-32,7.12457640674e-218,1.0,1.0,9.68922960351e-60,1.53437379783e-18,1.0,1.0,1.0,2
