segment lengthF lengthM massF massM cmF cmM sagF sagM traF traM lonF lonM 
head 200.2 203.3 6.68 6.94 58.94 59.76 33.0 36.2 35.9 37.6 31.8 31.2 
trunk  529.3 531.9 42.57 43.46 41.51 44.86 35.7 37.2 33.9 34.7 17.1 19.1
upt 142.5 170.7 15.45 15.96 20.77 29.99 74.6 71.6 50.2 45.4 71.8 65.9
mpt 205.3 215.5 14.65 16.33 45.12 45.02 43.3 48.2 35.4 38.3 41.5 46.8 
lpt 181.5 145.7 12.47 11.17 49.20 61.15 43.3 61.5 40.2 55.1 44.4 58.7 
upperArm 275.1 281.7 2.55 2.71 57.54 57.72 27.8 28.5 26.0 26.9 14.8 15.8 
forArm 264.3 268.9 1.38 1.62 45.59 45.74 26.1 27.6 25.7 26.5 9.4 12.1 
hand 78.0 86.2 0.56 0.61 74.74 79.00 53.1 62.8 45.4 51.3 33.5 40.1 
thigh 368.5 422.2 14.78 14.16 36.12 40.95 36.9 32.9 36.4 32.9 16.2 14.9 
shank 432.3 434.0 4.81 4.33 44.16 44.59 27.1 25.5 26.7 24.9 9.3 10.3 
foot 228.3 258.1 1.29 1.37 40.14 44.15 29.9 25.7 27.9 24.5 13.9 12.4 
