Quality, Precision, Recall, F1 score, Train F1 Score, Active Features amount 
Advance, 0.706, 0.857, 0.774, 0.772, 7
ArmsToUpperBody, 0.478, 0.846, 0.611, 0.873, 22
Bind, 0.8, 0.267, 0.4, 0.826, 21
Condense+Enclose, 0.636, 0.583, 0.609, 0.844, 20
Direct, 0.353, 0.923, 0.511, 0.677, 14
Free+Light, 0.533, 0.444, 0.485, 0.694, 18
Head-drop, 0.407, 0.846, 0.55, 0.75, 12
Jump, 0.889, 0.381, 0.533, 0.931, 15
Passive, 0.241, 0.583, 0.341, 0.767, 19
Retreat, 0.111, 0.125, 0.118, 0.952, 17
Rhythmicity, 0.625, 0.526, 0.571, 0.78, 23
Rotation, 0.818, 0.474, 0.6, 0.632, 9
Sink, 0.25, 0.833, 0.385, 0.762, 14
Spread, 0.786, 0.55, 0.647, 0.875, 10
Strong, 0.158, 0.231, 0.187, 0.678, 4
Sudden, 0.195, 0.615, 0.296, 0.716, 11
Twist+Back, 0.833, 0.313, 0.455, 0.884, 8
Up+Rise, 0.909, 0.435, 0.588, 0.623, 5
